idRule,agent,module,tier,confidence,rationale_text
4334,Trichloroethylene,DRYC_Dry Cleaner,EST,high,"Your answers indicate: “Trichloroethylene” for “In the last working week, did you use any of the following dry cleaning chemicals?”; and “Transferred dry cleaned clothing from the washer to the dryer” for “In the last working week, did you do any of the following tasks?”. You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen."
4335,Trichloroethylene,DRYC_Dry Cleaner,EST,high,"Your answers indicate: “Trichloroethylene” for “In the last working week, did you use any of the following dry cleaning chemicals?”; and “Manually transferred dry cleaning chemicals from a storage tank to a washing machine” for “In the last working week, did you do any of the following tasks?”. You may have been exposed to a solvent used in some manufacturing such as degreasing, classified as a known human carcinogen."
4339,Tetrachloroethylene (PERC),DRYC_Dry Cleaner,EST,medium,"Your answers indicate: “Perchloroethylene or tetrachloroethylene (PERC)” for “In the last working week, did you use any of the following dry cleaning chemicals?”; and “Transferred dry cleaned clothing from the washer to the dryer” for “In the last working week, did you do any of the following tasks?”. You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen."
4340,Tetrachloroethylene (PERC),DRYC_Dry Cleaner,EST,medium,"Your answers indicate: “Perchloroethylene or tetrachloroethylene (PERC)” for “In the last working week, did you use any of the following dry cleaning chemicals?”; and “Manually transferred dry cleaning chemicals from a storage tank to a washing machine” for “In the last working week, did you do any of the following tasks?”. You may have been exposed to a solvent used in dry cleaning and some manufacturing, classified as a probable human carcinogen."
5350,Diesel Exhaust,aDVM Driving/Maintenance aJSM,EST,high,"Your answers indicate: “Underground in a mine” for “What types of roads or areas did you drive or travel on?”; and “Diesel” for “What types of fuel did the vehicles that you drove, maintained or travelled in use?”. You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen."
5382,Diesel Exhaust,aDVM Driving/Maintenance aJSM,EST,high,"Your answers indicate: “Diesel” for “What types of fuel did the vehicles that you drove, maintained or travelled in use?”; and “Inside a building (e.g., warehouse)” for “What types of roads or areas did you drive or travel on?”. You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen."
5401,Carbon Monoxide,aDVM Driving/Maintenance aJSM,ACUTE,high,"Your answers indicate: “Underground in a mine” for “What types of roads or areas did you drive or travel on?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
5490,Carbon Monoxide,aDVM Driving/Maintenance aJSM,ACUTE,high,"Your answers indicate: “No” for “In the last working week, did you attach a hose to the exhaust pipe of the vehicle you maintained to lead the exhaust fumes outside?”. You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations."
5582,Benzene,aMAH Material Handling aJSM,EST,high,"Your answers indicate: “Petroleum” for “What petroleum products did you load, unload or carry in the last working week?”; and “From the top of the tanker with an open hatch” for “In the last working week, how was the loading done when you loaded the tank truck using a hose or fill tube?”. You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen."
5656,Asbestos,aMAH Material Handling aJSM,EST,high,"Your answers indicate: “Friable (e.g., pipe lagging, insulation)” for “Were the asbestos-containing products you loaded/unloaded friable or non-friable?”; and “No” for “In the last working week, did you wear respiratory protection when you loaded/unloaded asbestos-containing products?”. You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen."
